time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
37800	9995,29491444	9995,29491444	9995,29491444	9995,29491444	9995,2145699	9995,2145699	9995,2145699	9995,05498978	9995,05498978	9995,05498978	9995,05498978	9995,05498978	9995,05498978	9995,0118319	9995,0118319	9995,0118319	9995,0118319
38700	10000,568768	10000,568768	10000,568768	10000,568768	10000,5746769	10000,5746769	10000,5746769	10000,5661985	10000,5661985	10000,5661985	10000,5661985	10000,5661985	10000,5661985	10000,5633915	10000,5633915	10000,5633915	10000,5633915
39600	10001,7549632	10001,7549632	10001,7549632	10001,7549632	10001,7813953	10001,7813953	10001,7813953	10001,7831937	10001,7831937	10001,7831937	10001,7831937	10001,7831937	10001,7831937	10001,7793966	10001,7793966	10001,7793966	10001,7793966
40500	10002,9568906	10002,9568906	10002,9568906	10002,9568906	10002,9998363	10002,9998363	10002,9998363	10003,0583949	10003,0583949	10003,0583949	10003,0583949	10003,0583949	10003,0583949	10003,0691944	10003,0691944	10003,0691944	10003,0691944
41400	10004,0787333	10004,0787333	10004,0787333	10004,0787333	10004,1427322	10004,1427322	10004,1427322	10004,2176881	10004,2176881	10004,2176881	10004,2176881	10004,2176881	10004,2176881	10004,2274496	10004,2274496	10004,2274496	10004,2274496
42300	10019,4452483	10019,4452483	10019,4452483	10019,4452483	10019,7606414	10019,7606414	10019,7606414	10020,2389698	10020,2389698	10020,2389698	10020,2389698	10020,2389698	10020,2389698	10020,3371718	10020,3371718	10020,3371718	10020,3371718
43200	10017,451021	10017,451021	10017,451021	10017,451021	10017,734572	10017,734572	10017,734572	10018,1510553	10018,1510553	10018,1510553	10018,1510553	10018,1510553	10018,1510553	10018,2355777	10018,2355777	10018,2355777	10018,2355777
44100	10008,609636	10008,609636	10008,609636	10008,609636	10008,7435647	10008,7435647	10008,7435647	10008,9541696	10008,9541696	10008,9541696	10008,9541696	10008,9541696	10008,9541696	10008,9915664	10008,9915664	10008,9915664	10008,9915664
45000	10014,1026524	10014,1026524	10014,1026524	10014,1026524	10014,3234625	10014,3234625	10014,3234625	10014,6680423	10014,6680423	10014,6680423	10014,6680423	10014,6680423	10014,6680423	10014,7448408	10014,7448408	10014,7448408	10014,7448408
45900	10013,7673476	10013,7673476	10013,7673476	10013,7673476	10013,9791825	10013,9791825	10013,9791825	10014,3391896	10014,3391896	10014,3391896	10014,3391896	10014,3391896	10014,3391896	10014,4136964	10014,4136964	10014,4136964	10014,4136964
46800	10009,96103	10009,96103	10009,96103	10009,96103	10010,1113691	10010,1113691	10010,1113691	10010,3569154	10010,3569154	10010,3569154	10010,3569154	10010,3569154	10010,3569154	10010,4053621	10010,4053621	10010,4053621	10010,4053621
47700	10021,374702	10021,374702	10021,374702	10021,374702	10021,720507	10021,720507	10021,720507	10022,222802	10022,222802	10022,222802	10022,222802	10022,222802	10022,222802	10022,3302232	10022,3302232	10022,3302232	10022,3302232
48600	10013,9216099	10013,9216099	10013,9216099	10013,9216099	10014,145689	10014,145689	10014,145689	10014,4468423	10014,4468423	10014,4468423	10014,4468423	10014,4468423	10014,4468423	10014,5144864	10014,5144864	10014,5144864	10014,5144864
49500	10009,5510955	10009,5510955	10009,5510955	10009,5510955	10009,7042017	10009,7042017	10009,7042017	10009,9214567	10009,9214567	10009,9214567	10009,9214567	10009,9214567	10009,9214567	10009,9672061	10009,9672061	10009,9672061	10009,9672061
50400	10024,250938	10024,250938	10024,250938	10024,250938	10024,6439761	10024,6439761	10024,6439761	10025,2514985	10025,2514985	10025,2514985	10025,2514985	10025,2514985	10025,2514985	10025,3849956	10025,3849956	10025,3849956	10025,3849956
51300	10009,6360182	10009,6360182	10009,6360182	10009,6360182	10009,7890677	10009,7890677	10009,7890677	10010,0247364	10010,0247364	10010,0247364	10010,0247364	10010,0247364	10010,0247364	10010,0784663	10010,0784663	10010,0784663	10010,0784663
52200	10001,2650635	10001,2650635	10001,2650635	10001,2650635	10001,2805876	10001,2805876	10001,2805876	10001,2938821	10001,2938821	10001,2938821	10001,2938821	10001,2938821	10001,2938821	10001,2946964	10001,2946964	10001,2946964	10001,2946964
53100	9996,74585865	9996,74585865	9996,74585865	9996,74585865	9996,68852812	9996,68852812	9996,68852812	9996,58394036	9996,58394036	9996,58394036	9996,58394036	9996,58394036	9996,58394036	9996,55945828	9996,55945828	9996,55945828	9996,55945828
54000	9996,86196345	9996,86196345	9996,86196345	9996,86196345	9996,80566182	9996,80566182	9996,80566182	9996,70415825	9996,70415825	9996,70415825	9996,70415825	9996,70415825	9996,70415825	9996,68146073	9996,68146073	9996,68146073	9996,68146073
54900	10005,2486699	10005,2486699	10005,2486699	10005,2486699	10005,3279723	10005,3279723	10005,3279723	10005,4532275	10005,4532275	10005,4532275	10005,4532275	10005,4532275	10005,4532275	10005,4848022	10005,4848022	10005,4848022	10005,4848022
55800	9998,03385957	9998,03385957	9998,03385957	9998,03385957	9997,99900884	9997,99900884	9997,99900884	9997,92808925	9997,92808925	9997,92808925	9997,92808925	9997,92808925	9997,92808925	9997,90938809	9997,90938809	9997,90938809	9997,90938809
56700	9993,76709529	9993,76709529	9993,76709529	9993,76709529	9993,66272753	9993,66272753	9993,66272753	9993,47444833	9993,47444833	9993,47444833	9993,47444833	9993,47444833	9993,47444833	9993,42635417	9993,42635417	9993,42635417	9993,42635417
57600	9996,03955276	9996,03955276	9996,03955276	9996,03955276	9995,97195667	9995,97195667	9995,97195667	9995,85327336	9995,85327336	9995,85327336	9995,85327336	9995,85327336	9995,85327336	9995,82611666	9995,82611666	9995,82611666	9995,82611666
58500	9993,22293909	9993,22293909	9993,22293909	9993,22293909	9993,1079006	9993,1079006	9993,1079006	9992,91253723	9992,91253723	9992,91253723	9992,91253723	9992,91253723	9992,91253723	9992,87138611	9992,87138611	9992,87138611	9992,87138611
59400	9992,47801007	9992,47801007	9992,47801007	9992,47801007	9992,35048067	9992,35048067	9992,35048067	9992,13271878	9992,13271878	9992,13271878	9992,13271878	9992,13271878	9992,13271878	9992,08364793	9992,08364793	9992,08364793	9992,08364793
60300	9992,67469314	9992,67469314	9992,67469314	9992,67469314	9992,54829279	9992,54829279	9992,54829279	9992,3494585	9992,3494585	9992,3494585	9992,3494585	9992,3494585	9992,3494585	9992,30685442	9992,30685442	9992,30685442	9992,30685442
