2019-01-29 16:05:44.461556;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.461744;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:44.957884;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.958295;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:44.958637;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.958907;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:44.959154;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.959401;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:44.959797;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.960118;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:45.458422;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.458818;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:45.459113;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.459356;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:45.459577;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.459819;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:45.460092;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.460399;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:45.957578;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.958022;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:45.958311;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.958579;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:45.958852;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.959124;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:45.959325;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:45.959504;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:46.459297;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:46.459730;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:46.460167;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:46.461227;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:46.461878;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:46.462514;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:46.462800;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:46.463091;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:46.962304;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:46.963423;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:46.963922;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:46.964469;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:46.965295;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:46.965854;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:46.966784;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:46.967472;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:47.458316;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.458670;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:47.458954;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.459214;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:47.459458;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.459708;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:47.459905;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.460094;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:47.965837;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.966758;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:47.967427;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.968075;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:47.968951;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.969790;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:47.970571;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:47.971005;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:48.457614;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.457976;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:48.458243;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.458490;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:48.458718;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.458930;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:48.459131;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.459343;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:48.964021;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.964553;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:48.964813;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.965133;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:48.965439;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.965835;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:48.966330;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:48.966874;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:49.461155;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.461530;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:49.461803;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.462061;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:49.462399;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.463071;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:49.463649;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.464053;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:49.961501;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.961877;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:49.962167;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.962453;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:49.963062;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.963695;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:49.964264;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:49.964647;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:50.458536;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.458910;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:50.459165;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.459388;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:50.459600;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.459809;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:50.460029;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.460253;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:50.959746;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.960045;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:50.960232;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.960403;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:50.960589;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.960789;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:50.960978;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:50.961152;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:51.473149;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.474382;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:51.475229;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.475628;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:51.475936;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.476207;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:51.476463;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.477061;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:51.964271;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.965079;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:51.965602;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.965961;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:51.966200;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.966437;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:51.966831;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:51.967496;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:52.466211;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:52.466567;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:52.466785;sensor_2-node_b5;Vm;10999.786529962004
2019-01-29 16:05:52.467081;sensor_2-branch_24;I_real;0.054601359839584925
2019-01-29 16:05:52.467552;sensor_3-node_b5;Vm;10999.786529962004
2019-01-29 16:05:52.468386;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:52.468823;sensor_4-node_b5;Vm;10999.786529962004
2019-01-29 16:05:52.469476;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:52.965500;sensor_1-node_b5;Vm;10999.786529962004
2019-01-29 16:05:52.966121;sensor_1-branch_19;I_real;0.05460135981496944
2019-01-29 16:05:52.966441;sensor_2-node_b5;Vm;10999.786529962004
